,Unnamed: 0,회사이름,급여,경력,학력,스킬,채용 포지션,담당업무,지원자격,우대사항
42,42,엘지전자(주),회사 내규에 따름,신입,대졸 이상,NaN,제어 SW생산기술원,"제어 설계
장비 운영 시나리오 및 SW 설계(PLC, PC)
시퀀스 제어(S/W) 및 전장(H/W) 도면 구성 / 설계
Active align 알고리즘, 고속 모션 제어(ACS Controller) 설계
머신비전 장비 SW개발(영상처리 알고리즘)
물류 운영 제어(ACS), 모바일 로봇 제어 SW 개발(2D, 3D Vision 인식기술)
Smart Factory 정보화 IT 시스템 구축 및 솔루션 개발
생산 운영 프로세스 표준화 및 운영 시스템 개발(MES)","관련학과
기계공학, 전기전자공학, 산업공학, 자동차공학, 메카트로닉스공학, 소프트웨어학, 컴퓨터공학, 정보통신공학
관련 교과목
생산공학, 메카트로닉스, 자동차공학, 로봇공학, 프로그래밍언어, 임베디드시스템, 소프트웨어공학
필요역량
컴퓨터/소프트웨어공학 혹은 관련 학과 전공
C, C++ 등 개발 프로그래밍 언어 활용 경험","PC 기반 모션 컨트롤러 사용 역량
PC / PLC 제어/통신프로그램 개발 경험 우대"
43,43,엘지전자(주),회사 내규에 따름,신입,대졸 이상,NaN,로봇CTO부문,"로봇 분야 핵심 기술 개발 및 플랫폼 확보를 통한 로봇 신사업 기여 및 미래 준비
로봇 핵심 기술(내비게이션, 코그니션, 매니퓰레이션)의 고도화 및 공통 기반 기술 확보 
로봇 플랫폼의 경쟁력 확보 및 홈케어로봇 / 배송&물류로봇/ 로봇 자동화 솔루션 사업 확대 기여
미래 기술을 선도하는 인공지능/차세대 통신 기술 등을 접목한 로봇 솔루션 발굴 및 시너지 창출
로보틱스-Naivgation : SLAM 기술 / 경로계획/주행제어 기술/ 장애물/상황 인지 기술 
로보틱스-Cognition : 비전 기술/음향 인지 및 생성 기술/환경 상황인지 기술/ 인터랙션 기술
로보틱스-Manipulation : 물체 인식 기술 / 모션 계획 및 조작 제어 기술 / 로봇 구동 시스템 기술
로보틱스-로봇플랫폼: SW 아키텍쳐/ 멀티로봇 군집제어/원격 지능로봇 운용/시뮬레이터","관련학과
기계공학, 전기전자공학, 컴퓨터공학 등 관련 전공
관련 교과목
전기전자공학, 제어공학, 신호및시스템, 인공지능, 전자회로, 통신이론, 자료구조,
이산수학, 패턴인식, 기체/유체/동역학, 기구학 등
필요역량
유관 전공의 석사 이상 학위 소지자
AI 학습 기반 인식 및 제어 관련 지식
기구학, 동역학, 모터 제어 등 로봇 제어 관련 지식
-기구 구조 설계, 열/진동 해석
전력전자 회로 설계, RF 회로 설계
C/C++ / Python 프로그래밍 역량","ROS (Robot OS) 개발 경험
DevOps, MILOps 사용 경험자
NPU, TPU, DSP 최적화 경험자
SLAM, 3D Reconstruction, Object 인식 및 추적, 경로 계획, 구동 제어 등 로봇
내비게이션 관련 지식 보유
Computer Vision, Audio Signal Processing, HRI, 인공지능 관련 경험자
딥러닝 경험(Pytorch, Tensorflow등), 데이터 분석 처리 알고리즘 개발 경험
가상환경 시뮬레이션 분산 시스템 아키텍처 개발 경험 등
산업용/협동로봇 로봇팔 제어 경험
로봇팔/로봇핸드/주행로봇 하드웨어 설계 경험
강화학습 기반 다관절 로봇 제어 경험"
44,44,현대글로비스(주),회사 내규에 따름,신입,대졸 이상,NaN,AI기술개발,"비전인식 AI 활용과제 기획 및 모델 개발
객체 인식 기반 과제 발굴(결함 검출, 객체 추적, 작업장 환경 개선 등)
글자 인식 기반 과제 발굴(물류 라벨 인식, 문서 인식 등)
비전 인식 장치를 활용한 업무 개선 과제 발굴(로봇, 드론 등)
딥러닝 알고리즘 모델 Fine-tuning 및 경량화 기술 개발","학력 : 석사
전공 : 컴퓨터공학, 통계학",박사
45,45,엘지전자(주),회사 내규에 따름,신입,석사 이상,NaN,로봇  공법/장비 생산기술원,"주어진 작업 구현에 필요하기 위한 툴을 구성하고, 필요한 기능 구현을 위한 제어 알고리즘을 개발할 수 있음
로봇기술들을 모듈화/표준화하여 레고처럼 조립/운영이 가능한 RPS(RobotiC Prodcution System)를 구성할 수 있음
기존 전용 자동화 장비와는 다르게 로봇을 활용하여 유연성과 재활용성을 높인 시스템을 구성할 수 있음
AI/ML 및 비젼을 활용하여 기존에 못했던 공정을 구현하고 로봇 시스템을 보다 쉽게 사용/운영할 수 있는 기술을 개발할 수 있음",NaN,NaN
46,46,엘지전자(주),회사 내규에 따름,신입,석사 이상,NaN,"Robotics  Al Application H&A본부, CTO, 생산기술원","외부환경을 인식(Perception)하고, 스스로 상황을 판단(Cognition)하여 자율적으로
동작(Manipulation)하는 지능형로봇구현 기술역량
물건을 잡고 핸들링하는 조작제어 기술
자유롭게 이동하기 위한 자율이동 기술
미리 학습한 지식정보를 바탕으로 물체를 인식하는 기술
기계가 공간지각능력을 갖게하기 위한 위치인식 기술",NaN,NaN
47,47,포스코홀딩스,회사 내규에 따름,신입 또는 경력,석사 이상,"API, AWS, C++, JAVA, Python, SQL, Tensorflow, Spring",제어지능,"제조설비 실시간 제어 모델 및 시스템 구현
위험작업 환경 원격 모니터링 시스템 및 로봇 제어모델 개발
Mobility 자율주행 및 물류기기 자동화","Python 등 프로그래밍 언어
Machine Learning, Deep Learning 등 알고리즘/모델 디자인
SLAM/GPS 기반 Localization 경험
전기/전자공학 기계공학
산업공학
석사
박사
",NaN
48,48,슈어소프트테크(주),회사 내규에 따름,2년 이상,초대졸 이상,"C, C#, C++, JAVA, Linux",로보틱스 개발팀,로봇 분야 소프트웨어 개발 (로봇 제어 SW 개발 및 검증),"ROS Linux 환경 개발 경험자
로봇 분야 개발 경험자","C, C++, Python 언어 개발 개발 경험
임베디드 S/W 개발 경험"
49,49,원익,회사 내규에 따름,신입,대졸 이상,NaN,부품개발 연구개발,"각 공정 설비에 요구되는 최적 성능 발휘 부품 개발 및 개선 적용
로봇 개발
신규 로봇 개발 및 적용 검토
로봇 모션 제어 기술 개발
주요 부품 개발
주요 부품 국산화/OEM 개발
진공 부품 개발(압력제어밸브, Gauge, Sensor 등)","학력 : 학사/석사
관련 학과 : 기계공학, 재료공학, 메카트로닉스공학 등",반도체 공정/설비 교육 이수자
50,50,슈어소프트테크(주),회사 내규에 따름,3년 이상,무관,"C, C++, Linux ROS",로보틱스 개발팀 임베디드/C/C++ 개발자,"임베디드 SW 개발
로봇 분야 소프트웨어 개발(로봇 제어 SW 개발 및 검증)","학력 : 학력무관
경력 : 3 ~ 10년
C언어 및 펌웨어 개발 경력 3년 이상
MCU 기반의 SW 개발 가능자
로봇 분야 개발 경험자
ROS, Linux 환경 개발 경험자","BLDC 모터 제어 유경험자
C언어 펌웨어 기반의 SW 개발 경험자
임베디드 시스템의 디바이스 드라이버 개발 경험
C, C++, Python 언어 개발 경험
임베디드 SW 개발 경험"
51,51,두산로보틱스 ,회사 내규에 따름,경력,대졸 이상,NaN,ROS SW,"ROS기반 협동 로봇 개발
ROS기반 System Integration(모바일 매니퓰레이션+Vision) 개발","프로그래밍 스킬(C++ 필수) 보유자
기계, 전기, 메카트로닉스 또는 컴퓨터공학 학사 이상
경력 3년 이상","ROS기반 SLAM/Navigation S/W 개발 경험자 우대
ROS기반 Vision, Sensor Fusion S/W 개발 경험자 우대
ROS Movelt 이용한 모션 플래닝 경험자 우대
통신규격을 활용한 장치 인터페이스 관련 지식 보유자 우대 
Python 프로그래밍 가능자 우대"
52,52,드림텍,회사 내규에 따름,경력,대졸 이상,NaN,기구개발 엔지니어,"기구개발 엔지니어
휴머노이드 로봇 공동 개발 업무
해외업체와의 공동 개발/리뷰/양산관리 업무","학력 : 관련 학과 학사 이상
경력 : 5년 이상","영어 가능자
Robot 개발 가능자
로봇 기구개발 기사 자격증 보유자
구동 메커니즘 설계 가능자
로봇 및 관련 업계 경험자"
53,53,드림텍,회사 내규에 따름,경력,대졸 이상,NaN,하드웨어 개발관리,"하드웨어개발 관리자
휴머노이드 로봇 공동 개발 업무
해외업체와의 공동 개발/리뷰/양산관리 업무","학력 : 관련 학과 학사 이상
경력 : 10년 이상","영어 가능자
Robot 개발 가능자
Motor Driver 회로 설계 가능자
로봇 하드웨어개발 기사 자격증 보유자
산업현장 물류 이송 로봇, 배달 로봇, 안내로봇, Drone등 경험자"
54,54,포스코DX ,회사 내규에 따름,3년 이상,대졸 이상,NaN,로봇 자동화 설계 및 프로그래밍,"산업용 로봇, 협동 로봇을 활용한 로봇 자동화 설계 및 시뮬레이션 검토
AutoCAD, NX등의 설계 툴을 활용한 로봇 자동화 기구 및 그리퍼 컨셉 설계
SIEMENS 3D 로봇 시뮬레이션 툴을 활용한 컨셉 설계 정합성 검토
산업용 로봇을 활용한 자동화 사업 수행
로봇 프로그램 개발, 티칭, 시운전 등
설계 검증을 위한 Test-Shop 구축 및 사전 검증
로봇 어플리케이션 개발 및 적용(비젼, 센서, 방열기술 등)
대내외(포스코그룹사 및 대외) 로봇 자동화 사업 제안서 작성","관련분야 전공자(기계, 전기, 제어, 전자, 로봇, 메카트로닉스 등)
산업용로봇, 협동로봇, AMR등 로봇 제조사 근무 및 현장 적용 경험 보유자(경력 3년 이상)
C, C++, Python을 활용한 로봇프로그램 개발 경험 보유자 (경력 3년 이상)
산업용 로봇 엔지니어링 및 자동화 사업 유경험자 (경력 3년 이상)
산업용 로봇(ABB.KUKA,FANUC) 프로그래밍&티칭 경험자 (경력 3년 이상)","연속 산업(철강분야 등) 로봇 자동화 및 제조 자동화 로봇 프로젝트 유 경험자(3년 이상)
기계·전기·제어 등 관련 분야 자격증 보유자
로봇자동화 컨셉 설계, 3D 로봇 시뮬레이션 및 OLP 경험 보유자
산업용 로봇 및 협동로봇 프로그래밍(티칭) 가능자"
55,55,포스코DX ,회사 내규에 따름,3년 이상,대졸 이상,NaN,제조/유통 물류 분야 로봇 자동화 설계 및 수행,"모바일 로봇(AGV/AMR)를 활용한 로봇 자동화 Layout 설계, Simulation 및 사업 수행 (제조/유통 물류)
AGV/AMR 적용 (제조 및 물류) 로봇 자동화 System Layout 설계 및 성능 검증
현장 프로세스 분석, VoC 도출 등을 기반으로 로봇 시스템 기획 및 설계
현장 적용 AGV/AMR 사양 확인 및 성능 검증
AGV/AMR을 활용한 로봇 물류 자동화 물동량 산출
이동 최적 경로 설계, 시운전 및 자동화 구축
제철소 및 대외 로봇 자동화 사업 기획/제안/설계/구축","관련분야 전공자(기계, 전기, 제어, 전자, 로봇, 메카트로닉스 등) (0명)
(제조 및 유통 물류)모바일 로봇 자동화 시스템 레이아웃/ 운영 프로세스 설계 경험자(경력 3년 이상)
AGV/AMR 제조사 근무 및 현장 적용 경험 보유자(경력 3년 이상) 
기계·전기·제어등 관련 분야 자격증 보유자","제철소등 철강분야 및 물류 자동화 AGV/AMR적용 로봇 프로젝트 경험자(3년 이상)
현장 적용 모바일 로봇(AGV/AMR) 개발 경험
AutoCad 사용 가능자"
56,56,포스코DX ,회사 내규에 따름,3년 이상,대졸 이상,NaN,산업용 로봇 엔지니어링 및 프로그래밍,"산업용 로봇 및 AGV를 활용한 무인화, 자동화 설계
엔지니어링: 시스템 구성 및 상세설계, 시운전 등
프로그래밍 : 로봇 3D 시뮬레이션, 프로그래밍 & 티칭 등
-제철소 및 대외 로봇 자동화 사업 제안서 작성","관련분야 전공자(기계, 전기, 제어, 전자, 로봇, 메카트로닉스 등)
산업용 로봇 엔지니어링 및 자동화 사업 경험자(경력 3년 이상)
산업용 로봇(ABB,KUKA,FANUC) 프로그래밍&티칭 경험자 (3년 이상)","제철소 등 철강분야 자동화 프로젝트 유 경험자(3년 이상)
기계·전기 관련 자격증 보유자
3D 시뮬레이션, OLP 사용 가능자"
57,57,포스코DX ,회사 내규에 따름,신입,박사 이상,NaN,로봇 자동화 및 플랫폼 개발,"로봇 플랫폼 개발, 로봇 자동화 시스템 설계, 로봇/AI 기반
자율 제조 시스템
이기종 로봇의 운영이 가능한 로봇 플랫폼 개발 및 적용
산업용 로봇, AGV/AMR을 활용한 제조 로봇 자동화, 물류 로봇 자동화 시스템 설계, 검증
로봇과 AI 기반의 자율 제조 요소기술 발굴 및 개발
철강, 제조 및 유통 물류 분야 로봇 자동화 사업을 위한 시스템 설계, 최적화","기계/전기/제어 등 관련 분야 전공자로 박사학위 보유자 (전자, 전기, 제어, 기계, 산업, 로봇, 메카트로닉스 등 관련학과)","산업용 로봇 및 로봇 자동화 시스템 유 경험자
로봇 기반 자율 제조 시스템 개발 경험 유 경험자
(철강, 제조 및 유통 물류)로봇 자동화 설계, 검증 유경험자 
산업용 로봇, AGV/AMR 제조사 근무 및 현장 적용 경험 보유자"
58,58,(주)엘템 ,"3,000~8,000",신입 또는 경력,대졸 이상,NaN,소프트웨어 개발 연구원," C, C++, 시리얼 통신, 라즈베리파이 프로그램 개발, 로봇 및 모터 제어",신입 경력,"관련학과 전공자
전기/전자공학
컴퓨터/시스템공학
자격증 : 자동차운전면허"
59,59,(주)원익로보틱스,회사 내규에 따름,경력,초대졸 이상,NaN,ROS기반 제어 SW 개발,"ROS 기반 구동 모터 제어 프로그래밍
ROS 기반 각종 센서 장치 드라이버 개발
PLC 및 Safety 컨트롤러 프로그래밍","학력 : 대졸이상(4년)
경력 : 3년 이상","전자/전기/제어 관련 전공자
ROS 개발 경험자
C/C++ 또는 Python 중급이상
로보틱스 기술분야 개발 유경험자
AGV/AMR 관련 개발 유경험자"
60,60,(주)티로보틱스,회사 내규에 따름,신입 또는 경력,초대졸 이상,"C#, C++, Python, Qt, Linux AGV",기계,"실내 자율 주행을 위한 AGV/AMR 기구설계
QD(Quad Drive) Wheel 설계
AMR/AGV물류로봇 구조/동역학/유동해석","기계공학, 기계설계 관련 공학계열 학사이상",NaN
61,61,(주)인티그리트," 4,000~8,000",경력,무관,"C, C++, Python, Linux",로봇 제어 클라우드 인프라 시스템 개발,"멀티 로봇의 실시간 원격 관제 클라우드 시스템 개발
로봇에서 취득한 공간 정보와 인구정보 데이터셋 규격화 및 표준화
로봇 데이터의 인증과 보안 시스템 개발
대용량 트래픽을 처리하기 위한 파이프 라인과 인프라 구축","학력: 학력무관
AWS를 활용한 시스템 구축과 개발 경험
NodeJS와 Python을 이용한 웹 서비스, API등의 개발 경험이 있으신 분
MySQL MongoDB, DynamoDB 같은 DBMS를 이용한 서비스 개발 경험이 있으신 분
WebSocket, MQTT를 활용한 실시간 통신 개발 경험이 있으신 분
새로운 시장, 새로운 기술을 배우는 것을 즐겨하시는 분","MicROService Architecture 설계나 개발 경험
실시간 및 대용량 트래픽 처리 등 인프라 개발 경험
IoT 기기 연동 개발 경험이 있으신 분
서비스의 인증, 보안, 권한, 정책 생성 및 구성 등 설계와 개발 경험
Kafka 혹은 AWS Kinesis Data Stream을 활용한 실시간 이벤트 스트리밍 처리 경험
Github Actions나 AWS Code pipeline을 통한 CI/CD 구축 및 운영 경험
AWS CloudFormation이나 Terraform을 활용한 laC 개발 경험
Elasticsearch 활용한 데이터 시각화와 ML 서비스 개발 경험"
62,62,(주)인티그리트," 4,000~8,000",경력,무관,"C, C++, Python, Linux",자율주행 솔루션 개발,"퀄컴 스냅드래곤 AI 칩셋 기반의 차세대 로보틱스 플랫폼 개발 협업
차세대 지능형 서비스 로봇을 위한 클라우드 자율주행 솔루션 개발
ISLAM, ROS2, Android 기반의 자율주행 프레임워크 설계 및 개발 및 고도화
Vision Camera, Lidar Fusion 및 데이터셋 개발
안드로이드 운영체계를 가진 로봇의 제어 및 데이터 플랫폼 개발 협업
멀티 로봇의 5G 기반 원격제어 및 관제 플랫폼 연동 협업","학력: 학력무관
프론트 엔드, 백 엔드 등 전체 시스템 구성에 이해도가 높으신 분
펌웨어, 안드로이드 프레임 워크, 백그라운드 프로세스에 대한 이해와 개발 경험이 있으신 분
Pytorch, LibTorch 프로젝트 개발 경험이 있으신 분
이미지 모델링, ML(학습)을 적용한 개발 및 테스트 코드 개발에 능하신분
ROS, ROS, 리눅스, 우분투 등 로봇의 기반 기술에 대한 경험, 이해가 높으신 분
Autoware 기반 자율주행 설계, 개발에 대한 경험이 있으신분
AGV, AMR 개발 및 상용화 프로젝트에 참여한 경험이 있으신분
프로젝트의 형상관리, 규격화 작업에 경험이 있으신분","전기/전자공학, 컴퓨터/시스템공학, 로봇,소프트웨어 공학 또는 관련 학과의 학위(학사/석사/박사) 소지자
Localization 및 Path Planning 관련 유경험자
Visual Odometry & SLAM 관련 유경험자
Sensor Fusion (Camera, Lidar,Radar 이용) 유경험자
DC/BLDC 모터 제어 능숙자 우대
Linux, Ubuntu, 파이션 프로그래밍 유경험자
ROS/ROS2 개발 유경험자
Modern C++ 프로그래밍 개발 유경험자"
63,63,써니팩토리," 2,500~3,000",무관,무관,"Python, Pytorch, Tensorflow",AI인공지능 및 자율 주행 로봇 인턴,"·인공지능 개발
자율 주행 로봇 개발","학력 : 학력무관
경력 : 현재, 직장 4대보험 가입 안되어 있는 분","-운전가능자
관련 자격증 보유자
자격증 : 정보처리기사
전공 : 전산학·컴퓨터공학, 응용소프트웨어공학, 기계·메카트로닉스·로봇"
64,64,(주)테스트웍스,회사 내규에 따름,무관,석사 이상,"C, C++, Matlab, Python, Tensorflow, ROS", Robot Vision 엔지니어 (병역특례 전문연구요원),"3차원 공간데이터 수집기 개발 (LiDAR/Radar/Camera)
3차원 공간데이터 구축 (SLAM)
딥러닝 기반 3차원 데이터 모델링
(3D Object Detection/Depth Completion/Depth Estimation)","학력 : 대학원(석사)이상
경력: 경력무관
Python, C/C++ 언어 중 1개 이상에 능숙한 자
Pytorch/Tensorflow/Caffe 중 1개 이상의 프레임워크에 능숙한 자
ROS/Matlab 중 1개 이상 사용이 가능한 자
의미론적 객체 분할/ 이상행동탐지 등 과 같은 딥러닝 프로젝트에 참여해 본 자 
3차원 공간데이터 랜더링 / 모델 개발이 가능한 자","선형대수/통계학에 대한 기본 지식이 있는 자
LiDAR / IR Camera 등의 센서를 다루어 본 자
컴퓨터비전/딥러닝/SLAM 등 관련 연구(논문)을 이해하고 구현이 가능한 자
Top-tier 학회 논문 혹은 관련 석사학위를 보유한 자
ROS 시스템을 사용하여 멀티센서 수집 시스템을 구축해 본 경험이 있는 자
Unity/Blender/Bullet 등 3D 시뮬레이션 엔진 경험을 보유한 자"
65,65,가천대학교 산학협력단,"2,640~5,400",무관,무관,로봇 전기 전자,"로봇 전기전자 연구자
","로봇 개발 업무
제어 분야 연구원 우대","학력 : 학력무관
경력: 경력무관","인근거주자
유관업무 경험자(인턴·알바)
석사학위 수여자
박사학위 수여자
관련학과 전공자"
66,66,록시스 ,"2,424~3,960",무관,무관,"C, Python",개발자 및 연구원,"프로그램 유지 및 보수, IoT 및 스마트팜 임베디드 시스템, 로봇 팔, rc카, 드론.","학력 : 학력무관
경력: 경력무관","전기, 전자, 컴퓨터 관련 전공자
의욕을 가지신 분이면 가장 좋습니다. 필요한 기술은 사내 교육을 통해 알려드리니 기술자로써 경력과 역량을 키 우실 분이시면 좋은 기회가 될 것 같습니다."
67,67,(주)파이엇 (PIOT Inc),"4,000~12,000",신입 또는 3년 이상,대졸 이상,"C, C++, ROS",SLAM & Navigation 개발,"LiDAR 기반 지도작성 및 위치인식 기술 개발
실외 자율주행 알고리즘 개발
장애물 회피 알고리즘 개발
실외 자율주행 로봇의 경로계획, 경로추종 기술 개발","3~10년차 이상 경력 보유자
SLAM and localization, Navigation 기술 개발 유경험자
컴퓨터, 전자, 제어, 로봇, 소프트웨어 공학, 메카트로닉스·로봇 또는 관련학과 학사 이상
C/C++ 이해 및 개발 능숙",NaN
68,68,(주)유진로봇,회사 내규에 따름,4년 이상,대졸 이상,"API, C, C++, Git, ROS, SDK, CD, ci",자율주행솔루션사업부 SW 엔지니어,"로봇 소프트웨어의 내외부 통신 채널 구성 및 관리
로봇 소프트웨어의 상태 및 생애 주기 관리
로봇의 기능을 활용하는 API 설계 및 구현
로봇 소프트웨어의 구성 및 설정 관리
데이터의 취합 및 처리","학력 : 대졸이상
경력 : 4 ~ 20년
C++ 개발 경력 4년 이상 혹은 그에 준하는 실력을 보유하신 분
기본적인 자료구조에 대한 이해 및 응용 분야에 대해 적용 경험
Git을 통한 협업 및 버전 관리 가능","Web server/client 개발 경험
API/SDK 설계 및 작성 경험
CI/CD 및 자동화된 테스트 시스템 구축 경험
Robotics 관련 경험
상용 소프트웨어 개발 및 운영 경험"
69,69,에브리봇(주),회사 내규에 따름,5년 이상,대졸 이상,"C, C++, Linux",S/W개발팀 임베디드 리눅스 응용프로그래머,"이동 로봇 상태 주기 관리 
이동 로봇 API 설계
데이터 취합 및 처리","학력 : 컴퓨터, 전자, 로봇 소프트웨어 공학 또는 관련 학과의 학위
Linux 기반 C/C++ 이해 및 개발 능숙자
경력 : 해당 분야 5년 이상","로봇 관련 경험
ROS/ROS2 개발 경험"
70,70,에브리봇(주),회사 내규에 따름,5년 이상,대졸 이상,"C, C++, Linux",S/W개발팀 SLAM,LiDAR 기반 SLAM (실내) 개발,"학력 : 컴퓨터, 전자, 로봇 소프트웨어 공학 또는 관련 학과의 학위
관련분야 박사 이상 또는 유관5년 이상
Linux 기반 C/C++ 이해 및 개발","자율 주행 개발 프로젝트 수행 경험
ROS / ROS2 개발 경험"
71,71,에브리봇(주),회사 내규에 따름,5년 이상,대졸 이상,"C, C++, Linux",S/W개발팀  NAVIGATION,이동 로봇 주행 알고리즘 개발,"학력 : 컴퓨터, 전자, 로봇 소프트웨어 공학 또는 관련 학과의 학위
관련분야 박사 이상 또는 유관5년 이상
LiDAR 기반 SLAM 개발 경험이 풍부한 자","자율 주행 개발 프로젝트 수행 경험
ROS/ROS2 개발 경험"
72,72,로봇제조기업,"5,000~",2년 이상,대졸 이상,NaN,ROS기반협동로봇개발,"ROS기반 협동 로봇 개발
ROS기반 System Integration(모바일 매니퓰레이션+Vision) 개발","프로그래밍 스킬(C++ 필수) 보유자
기계, 전기, 메카트로닉스 또는 컴퓨터공학 학사 이상
경력 3년 이상","ROS기반 SLAM/Navigation S/W 개발 경험자 우대
ROS기반 Vision, Sensor Fusion S/W 개발 경험자 우대
ROS Movelt 이용한 모션 플래닝 경험자 우대
통신규격을 활용한 장치 인터페이스 관련 지식 보유자 우대
Python 프로그래밍 가능자 우대"
73,73,솔루션 전문기업,회사 내규에 따름,경력,대졸 이상,NaN,로봇 시스템 개발,(서비스 로봇 제품 관련) Android 또는 Linux device drvier 개발 및 BSP 운용,"학사 이상, 정보통신, 컴퓨터 등 관련 전공자
경력 무관 연령 47세 이하
Android 또는 Linux OS 기반 시스템 개발 경험자 (필수)
리눅스 환경 프로그래밍 (C/C++, 쉘스크립트 또는 파이썬) (필수)
Yocto 및 임베디드 리눅스 구축 경험자, 임베디드 리눅스 BSP 개발 경험자 (우대)",NaN
74,74,솔루션 전문기업,회사 내규에 따름,경력,대졸 이상," Linux, Android, BSP, Yocto, C/C++",서비스 로봇 ROS개발,서비스 로봇 ROS개발,"학사 이상, 정보통신, 컴퓨터 등 관련 전공자
경력 무관, 연령 47세 이하
ROS(ROS1,2)에 대한 지식 또는 개발 유경험자 (필수)
로봇의 구성과 제어에 대한 지식 또는 경험자 (필수)
SLAM 및 네비게이션 개발 유경험자, 양산개발 유경험자 (우대)
기술스택 (중요도 순) : ROS, Navigation, SLAM",NaN
75,75,솔루션 전문기업,회사 내규에 따름,2년 이상,대졸 이상,NaN,로봇 인터페이스 마이크로서비스 개발,클라우드/MSA를 기반으로 한 로봇 인터페이스 마이크로서비스 개발,"학사 이상, 정보통신, 컴퓨터 등 관련 전공자
경력 2년 이상, 연령 47세 이하
리눅스 운영체제 경험
Python/C++ 언어를 사용한 개발 경험
통신 프로토콜 (Socket, Tcp, Websocket, SECS-2/HSMS 등) 기반 개발 경험
메시지 기반 미들웨어 (ZeroMQ, RabbitMQ, Matt 등) 기반 개발 경험
인-메모리 캐시 (Redis 등) 기반 개발경험
스트리밍 데이타 (Video, Sensor 등) 기반 개발 경험
*상기 필요역량 중 최소 3개 이상 충족자만 지원 요망",ROS1/ROS2 (로봇 메타운영체제) 경험
76,76,솔루션 전문기업,회사 내규에 따름,2년 이상,대졸 이상,NaN,로봇 인공지능 서비스 알고리즘 개발,"로봇 경로탐색 알고리즘 개발
로봇 트래픽 관리 알고리즘 개발","학사 이상, 정보통신, 컴퓨터 등 관련 전공자
경력 2년 이상, 연령 47세 이하
경로탐색 알고리즘 (A*, Dijkstra 등) 개발 경험 (필수)
메시지 기반 미들웨어 (ZeroMQ, RabbitMQ, Matt 등) 기반 개발 경험
인-메모리 캐시 (Redis 등) 기반 개발 경험
네트워크 데이타베이스 (Neo4j 등) 기반 개발 경험
도큐먼트 데이타베이스 (MongoDB 등) 기반 개발 경험
*상기 (필수) 필요역량 포함 최소 3개 이상 충족자만 지원 요망","데브옵스(Docker, CI&CI 등) 기반 개발 경험자 우대"
77,77,솔루션 전문기업,회사 내규에 따름,2년 이상,대졸 이상,NaN,로봇 원격제어/모니터링 마이크로서비스 개발,클라우드 / MSA를 기반으로 한 로봇 원격제어/모니터링 서비스 개발,"학사 이상, 정보통신, 컴퓨터 등 관련 전공자
경력 2년 이상, 연령 47세 이하
Java 언어를 사용한 개발 경험
Spring Boot/Spring WebFlux/Spring Batch 기반 개발 경험 
-인-메모리 캐시 (Redis 등) 기반 개발 경험
네트워크 데이타베이스 (Neo4j 등) 기반 개발 경험
도큐먼트 데이타베이스 (MongoDB 등) 기반 개발 경험",NaN
78,78,임플란트 중견기업,회사 내규에 따름,2년 이상,대졸 이상,"API, C, C#, C++, ROS, Open Lib",다관절 로봇제어 SW개발,"로봇 어플리케이션 개발
다관절 로봇 모션 및 경로 제어
경로 생성 및 로봇 자세 제어
임피던스 제어 개발","학력: 학사 이상
경력: 2~8년 (사원~대리급)
전기/전자/로보틱스/메카트로닉스 관련학과 전공자
로봇 기구학, 역기구학 관련 지식 보유자
로봇 제어기 개발 경험","의료용, 산업용 다관절 로봇 모션 및 경로 제어 경험자
Windows 및 ROS2, Linux Ubuntu 개발 경험자 EtherCAT 기반 모션제어 개발 경험자
포트폴리오 제출 우대"
79,79,협동로봇 개발 제조사,회사 내규에 따름,3년 이상,대졸 이상,"C++, kinematics, Dynamics, metalab",다관절 로봇 제어알고리즘 개발,NaN,"석사 이상(박사 우대, 기계/ 전기/ 메카트로닉스/ 컴퓨터공학 전공자)
관련 분야 경력 3년 이상 (로봇 개발 경험 필수, 협동로봇 우대)
Robot Kinematics, Dynamics 에 대한 이해
로봇 모션/ 힘/ 강성 제어 개발 경험자
프로그래밍 스킬(C++ 필수)
Matlab 경험자 우대",NaN
80,80,협동로봇 개발 제조사,회사 내규에 따름,3년 이상,대졸 이상,"C, C#, C++, JAVA, Linux", ROS S/W Engineer,"ROS기반 협동 로봇 개발
ROS기반 System Integration(모바일 매니퓰레이션+Vision) 개발","4년제 학사 이상(기계/ 전기/ 메카트로닉스/ 컴퓨터공학 전공자)
관련 분야 경력 만 3년 이상
프로그래밍 스킬(C++ 필수) 보유자","ROS기반 SLAM/Navigation S/W 개발 경험자 우대
ROS기반 Vision, Sensor Fusion S/W 개발 경험자 우대
ROS Movelt 이용한 모션 플래닝 경험자 우대
통신규격을 활용한 장치 인터페이스 관련 지식 보유자 우대
Python 프로그래밍 가능자 우대"
